iter	Logloss
0	0.6571824166
1	0.6260396789
2	0.5978658072
3	0.5780318402
4	0.5579158515
5	0.5406811772
6	0.5238726069
7	0.509394609
8	0.4960838268
9	0.4849620463
10	0.4766012401
11	0.4674072249
12	0.4594362235
13	0.4544473608
14	0.4479186447
15	0.441989799
16	0.4359791959
17	0.4315309246
18	0.4261842142
19	0.4231899569
20	0.4188075889
21	0.4154341263
22	0.413080239
23	0.4098254971
24	0.4074702241
25	0.4050456138
26	0.4028520245
27	0.4011279283
28	0.399917292
29	0.3977443273
30	0.3956357932
31	0.3942655618
32	0.3928603709
33	0.3916762654
34	0.3900617737
35	0.3888008455
36	0.3872311345
37	0.3858526403
38	0.3843983008
39	0.3834328552
40	0.3826104296
41	0.3817516974
42	0.3805269795
43	0.379447905
44	0.378632063
45	0.3781044066
46	0.3770583223
47	0.3762454079
48	0.3751048059
49	0.3742489028
50	0.3734940228
51	0.3729458117
52	0.371961529
53	0.3713948903
54	0.3704698227
55	0.3697396784
56	0.3689338734
57	0.3682738253
58	0.3676221345
59	0.3670242716
60	0.3665204641
61	0.3659833785
62	0.3653568189
63	0.3649072758
64	0.3644131178
65	0.3639308467
66	0.3632806188
67	0.362863008
68	0.3623265304
69	0.3620539168
70	0.3615632263
71	0.3612467564
72	0.3608485202
73	0.3605014825
74	0.3601680961
75	0.3598154682
76	0.3594733251
77	0.3592548454
78	0.358908698
79	0.3586203533
80	0.3583723965
81	0.358102505
82	0.3578579403
83	0.3575706799
84	0.3574652178
85	0.3572536453
86	0.3570358472
87	0.3567469061
88	0.3565152314
89	0.3562357374
90	0.356090823
91	0.3559378058
92	0.3556729906
93	0.3554385139
94	0.355222001
95	0.355178862
96	0.3548832718
97	0.3546502549
98	0.3543383167
99	0.3540081678
100	0.3538359701
101	0.3536970668
102	0.3533536033
103	0.3530929554
104	0.3528544267
105	0.3526935385
106	0.3523448634
107	0.3521833586
108	0.3519659001
109	0.35184893
110	0.3516556709
111	0.3515163221
112	0.3514454626
113	0.3514344775
114	0.3512914764
115	0.3510019882
116	0.3508680173
117	0.3507318368
118	0.3506241673
119	0.3504259999
120	0.3502382224
121	0.3499685361
122	0.3498919849
123	0.3497623564
124	0.3494638309
125	0.3493421889
126	0.3491523987
127	0.3489720142
128	0.3488320797
129	0.3486031581
130	0.3484006642
131	0.348292312
132	0.3481513905
133	0.3479025369
134	0.347808554
135	0.3476650298
136	0.347540951
137	0.3474634485
138	0.347265022
139	0.3471844192
140	0.347002602
141	0.3469466524
142	0.3468320634
143	0.3466972799
144	0.3466181008
145	0.3465894108
146	0.3464772572
147	0.3463973661
148	0.3463280423
149	0.3462169345
150	0.3460926685
151	0.3459803293
152	0.3458946855
153	0.3457363846
154	0.3456658263
155	0.3456592196
156	0.3455275149
157	0.345380711
158	0.3452361842
159	0.3451410653
160	0.3450635754
161	0.3449668749
162	0.3447666667
163	0.3447317273
164	0.3445955727
165	0.3444978567
166	0.3444202523
167	0.3443332756
168	0.3442129727
169	0.3441256424
170	0.3440239198
171	0.3439093253
172	0.343833395
173	0.3437300828
174	0.343585723
175	0.3434995661
176	0.3434479289
177	0.3433178926
178	0.3431421617
179	0.3431167423
180	0.3429561202
181	0.3429519318
182	0.342901635
183	0.3428301152
184	0.3427704879
185	0.3427276808
186	0.3426893864
187	0.3426285206
188	0.3425022563
189	0.3424108092
190	0.3423968737
191	0.3423804987
192	0.3423574584
193	0.3423286804
194	0.3422815358
195	0.3422478132
196	0.3421884556
197	0.3421036008
198	0.3420783373
199	0.3419916484
200	0.3419528387
201	0.3418852047
202	0.3418614478
203	0.3418386418
204	0.3417792659
205	0.3417106946
206	0.3416535012
207	0.3415893928
208	0.341540211
209	0.3414193035
210	0.3413283434
211	0.3412611232
212	0.3411773251
213	0.3411023411
214	0.3410969544
215	0.3410513794
216	0.3409865887
217	0.3409771108
218	0.3408998486
219	0.3408351335
220	0.34075714
221	0.3407353456
222	0.3406282769
223	0.3406272582
224	0.3405672383
225	0.3405011182
226	0.3404315013
227	0.3403490224
228	0.3403125791
229	0.3402278472
230	0.3401777874
231	0.340146818
232	0.3400840811
233	0.3399421287
234	0.3398881161
235	0.3398437607
236	0.3398140836
237	0.3397528646
238	0.3396853934
239	0.3396394936
240	0.3396296926
241	0.3396279131
242	0.3395621338
243	0.3395058412
244	0.3394356201
245	0.3393668057
246	0.3392628692
247	0.3392106066
248	0.3391380482
249	0.3390977404
250	0.3390897786
251	0.3389795556
252	0.3389314371
253	0.3389059157
254	0.338896737
255	0.3388751718
256	0.3388038647
257	0.3387926977
258	0.3387603811
259	0.3387137135
260	0.3386144786
261	0.3385590874
262	0.3385579846
263	0.338519965
264	0.3384923637
265	0.3384780807
266	0.3384773184
267	0.3384121072
268	0.338403379
269	0.338361613
270	0.3383153204
271	0.3382361088
272	0.3381788636
273	0.3381188219
274	0.3380748946
275	0.3379701661
276	0.3379208616
277	0.3379128295
278	0.337816417
279	0.3377592427
280	0.3377191985
281	0.3376571624
282	0.337616934
283	0.3375933535
284	0.3375505511
285	0.3374804973
286	0.3374067423
287	0.3373548968
288	0.3373244466
289	0.3372615673
290	0.3372204502
291	0.337169755
292	0.3371613908
293	0.3371085104
294	0.3370685293
295	0.3370635633
296	0.3369781068
297	0.3369392349
298	0.3368929078
299	0.3368364737
300	0.3367826972
301	0.336736185
302	0.3366024136
303	0.3365340575
304	0.3364482249
305	0.3364187998
306	0.3363742022
307	0.3363735977
308	0.3363157098
309	0.3363046049
310	0.3362748348
311	0.3362518238
312	0.3362336312
313	0.3362004147
314	0.3361911623
315	0.3361850349
316	0.3361830322
317	0.3361545087
318	0.336135973
319	0.3361269187
320	0.3360521199
321	0.3360445714
322	0.3360190811
323	0.3359748752
324	0.3359682076
325	0.3359102991
326	0.3358970588
327	0.3358464156
328	0.3357538251
329	0.3356506977
330	0.3356025942
331	0.3355898678
332	0.3355833712
333	0.3355497265
334	0.3355083502
335	0.335485602
336	0.3354433058
337	0.3353744681
338	0.3353549235
339	0.3353441387
340	0.3353428451
341	0.3353283973
342	0.3352754409
343	0.3352215303
344	0.3351588813
345	0.3351588454
346	0.3350931142
347	0.3350930816
348	0.3350727954
349	0.3350345845
350	0.3350003062
351	0.334953305
352	0.3349158322
353	0.3349158107
354	0.3348865523
355	0.3348707288
356	0.334836062
357	0.3347967561
358	0.334760547
359	0.3347605232
360	0.3346683642
361	0.3346613499
362	0.3346613279
363	0.3346462333
364	0.3346462282
365	0.3346036079
366	0.3345422561
367	0.3345410778
368	0.3345395507
369	0.3345162091
370	0.3344887257
371	0.3344885
372	0.3344864625
373	0.3344180573
374	0.3343995765
375	0.3343787907
376	0.3343484164
377	0.3343160147
378	0.3342952779
379	0.3342734915
380	0.3342121988
381	0.3341937123
382	0.3341759572
383	0.3341474681
384	0.3341147756
385	0.3340750219
386	0.3340523853
387	0.3339745066
388	0.3339674947
389	0.3339413198
390	0.3339152037
391	0.3338955825
392	0.3338627714
393	0.3338454462
394	0.3338302868
395	0.3337672347
396	0.3337624761
397	0.3337319158
398	0.3336875938
399	0.3336501313
400	0.3336300072
401	0.3336165653
402	0.3335848695
403	0.3335614924
404	0.3335093802
405	0.3334927619
406	0.333446672
407	0.3334445388
408	0.3334181344
409	0.3333738758
410	0.3333587137
411	0.3333377419
412	0.3332907556
413	0.3332495034
414	0.3332083156
415	0.3331822809
416	0.3331759428
417	0.3331056381
418	0.3330833703
419	0.3330777538
420	0.3330777262
421	0.333077701
422	0.333077654
423	0.3330757232
424	0.3330732378
425	0.33307322
426	0.333062372
427	0.3330132414
428	0.3330064003
429	0.3329608717
430	0.3329469409
431	0.3329285264
432	0.3329267628
433	0.3328493796
434	0.3328265566
435	0.3328071777
436	0.3327522262
437	0.3327134494
438	0.3326791551
439	0.3326687262
440	0.3326510443
441	0.3326464757
442	0.3326309665
443	0.3326291955
444	0.3326045387
445	0.3325938221
446	0.3325422826
447	0.3324799136
448	0.3324799064
449	0.3324692307
450	0.3324555511
451	0.3324465195
452	0.3323720917
453	0.332352788
454	0.3323147469
455	0.3322756223
456	0.3322578724
457	0.332224463
458	0.3321947841
459	0.332194777
460	0.3321573858
461	0.3321527591
462	0.3320875619
463	0.3320686972
464	0.3320634
465	0.332063395
466	0.332063201
467	0.3320458968
468	0.3320228623
469	0.3319537796
470	0.3319289105
471	0.3319193228
472	0.3319065936
473	0.3319047343
474	0.3318943604
475	0.3318855018
476	0.3318601417
477	0.331853904
478	0.3317949332
479	0.3317642006
480	0.3317612244
481	0.331744707
482	0.3316916693
483	0.3316693034
484	0.3316368782
485	0.331607917
486	0.3316078235
487	0.3316012401
488	0.3316012132
489	0.3315887183
490	0.3315887139
491	0.3315638674
492	0.3315543922
493	0.3315543885
494	0.3315543851
495	0.3315066846
496	0.331483883
497	0.3314664916
498	0.3314580499
499	0.3314228803
500	0.3313711395
501	0.3313585026
502	0.3313373302
503	0.331334296
504	0.3313256726
505	0.3312820519
506	0.33128037
507	0.3312803598
508	0.3312735421
509	0.3312715389
510	0.3312460512
511	0.3312460495
512	0.331220991
513	0.3311844661
514	0.3311448749
515	0.3311344911
516	0.3311131048
517	0.3310844063
518	0.3310719348
519	0.3309721955
520	0.3309509303
521	0.3309042499
522	0.3308775971
523	0.3308574727
524	0.3308065278
525	0.3307963772
526	0.3307961096
527	0.3307861642
528	0.3307858488
529	0.3307794906
530	0.3307718872
531	0.3307425996
532	0.3307425892
533	0.3307152971
534	0.330712027
535	0.3306906705
536	0.3306845277
537	0.3306558024
538	0.3306483498
539	0.3306276122
540	0.3306068098
541	0.3306067257
542	0.3305426576
543	0.3305164406
544	0.3305073169
545	0.3305066943
546	0.3304703284
547	0.3304395435
548	0.3303967555
549	0.3303566644
550	0.3303496125
551	0.3303447794
552	0.3303189242
553	0.330317716
554	0.3303064251
555	0.3303020356
556	0.3303020047
557	0.3303019755
558	0.3302947758
559	0.3302935032
560	0.3302828613
561	0.3302788028
562	0.3302766796
563	0.3302709074
564	0.3302559698
565	0.3302527354
566	0.3302519204
567	0.3302212893
568	0.3301946453
569	0.3301334358
570	0.330070576
571	0.3300651486
572	0.3300414437
573	0.3300328775
574	0.330016741
575	0.3300143817
576	0.3300135552
577	0.3300134743
578	0.3300127374
579	0.3300031937
580	0.3299266662
581	0.3299233741
582	0.3299221137
583	0.3298875891
584	0.3298712704
585	0.3298712191
586	0.3298712088
587	0.3298711497
588	0.3298711013
589	0.3298497605
590	0.3298233666
591	0.3298225211
592	0.329820903
593	0.3297991464
594	0.3297894994
595	0.3297889084
596	0.3297373761
597	0.3297061691
598	0.3296882061
599	0.3296859232
600	0.3296854246
601	0.3296550675
602	0.3296510521
603	0.3296510182
604	0.3296484709
605	0.3296147269
606	0.329604094
607	0.3295794582
608	0.3295722648
609	0.3295512798
610	0.3295482613
611	0.3295473983
612	0.329544592
613	0.329532851
614	0.3295032135
615	0.3294711433
616	0.3294299789
617	0.3294222342
618	0.3294157908
619	0.3294000283
620	0.3293893359
621	0.3293749078
622	0.3293699175
623	0.3293697789
624	0.3293678287
625	0.3293587519
626	0.3293587389
627	0.3293303793
628	0.3292996074
629	0.3292949519
630	0.3292944928
631	0.3292727672
632	0.3292699395
633	0.3292699239
634	0.3292638828
635	0.3292546724
636	0.3292337396
637	0.3292208156
638	0.3292165695
639	0.3292113836
640	0.3292006484
641	0.3292001834
642	0.3291666711
643	0.3291455207
644	0.3291392355
645	0.329139106
646	0.32912523
647	0.3290788769
648	0.3290556951
649	0.3290415781
650	0.3290341193
651	0.3290341031
652	0.3290338479
653	0.3290321236
654	0.3289781049
655	0.3289256042
656	0.3289228692
657	0.3289227184
658	0.3289199936
659	0.3289009211
660	0.3288648238
661	0.3288130557
662	0.3288116455
663	0.3288063094
664	0.3288058731
665	0.3288030708
666	0.3288001357
667	0.3287957407
668	0.328793157
669	0.328785548
670	0.3287855029
671	0.3287850985
672	0.3287828446
673	0.3287764207
674	0.3287764104
675	0.3287724238
676	0.328766081
677	0.3287553494
678	0.3286728804
679	0.3286564117
680	0.3286564112
681	0.3286543725
682	0.3286457065
683	0.328642782
684	0.3286138138
685	0.3286070618
686	0.32860356
687	0.3285766165
688	0.3285764745
689	0.3285716501
690	0.3285598418
691	0.3285598099
692	0.3285556435
693	0.3285258287
694	0.3285111136
695	0.328496679
696	0.328496665
697	0.3284954263
698	0.3284945521
699	0.3284670498
700	0.3284670378
701	0.3284614237
702	0.328461412
703	0.3284604485
704	0.3284157185
