iter	Passed	Remaining
0	62	62931
1	132	66248
2	189	63078
3	260	64756
4	324	64624
5	386	63980
6	445	63215
7	504	62514
8	572	63061
9	635	62908
10	695	62531
11	760	62611
12	834	63376
13	887	62507
14	948	62283
15	1003	61709
16	1070	61883
17	1126	61431
18	1187	61334
19	1241	60825
20	1306	60917
21	1369	60867
22	1423	60483
23	1488	60525
24	1553	60592
25	1613	60429
26	1680	60547
27	1745	60588
28	1796	60143
29	1857	60047
30	1919	60002
31	1974	59740
32	2043	59882
33	2106	59843
34	2164	59687
35	2226	59632
36	2293	59703
37	2357	59680
38	2420	59643
39	2476	59436
40	2540	59431
41	2595	59190
42	2659	59185
43	2720	59113
44	2786	59139
45	2849	59101
46	2912	59057
47	2967	58851
48	3042	59050
49	3098	58870
50	3160	58818
51	3218	58671
52	3290	58786
53	3349	58670
54	3407	58541
55	3461	58352
56	3536	58509
57	3591	58335
58	3653	58265
59	3716	58225
60	3776	58140
61	3835	58026
62	3891	57881
63	3947	57727
64	4019	57819
65	4075	57679
66	4132	57551
67	4191	57450
68	4261	57497
69	4324	57450
70	4383	57351
71	4441	57241
72	4518	57374
73	4577	57275
74	4636	57183
75	4692	57048
76	4755	57001
77	4812	56889
78	4877	56868
79	4934	56745
80	5003	56762
81	5061	56666
82	5119	56565
83	5184	56532
84	5248	56501
85	5315	56495
86	5376	56417
87	5437	56355
88	5523	56535
89	5598	56610
90	5657	56511
91	5706	56322
92	5781	56381
93	5846	56350
94	5908	56289
95	5950	56037
96	6028	56122
97	6087	56032
98	6152	55993
99	6217	55960
100	6282	55921
101	6342	55842
102	6412	55845
103	6475	55787
104	6538	55737
105	6604	55705
106	6664	55616
107	6733	55616
108	6799	55578
109	6853	55447
110	6905	55308
111	6980	55347
112	7031	55190
113	7068	54936
114	7124	54824
115	7182	54736
116	7251	54725
117	7305	54606
118	7365	54531
119	7426	54463
120	7489	54403
121	7545	54306
122	7592	54134
123	7652	54063
124	7716	54017
125	7778	53957
126	7836	53868
127	7892	53767
128	7963	53766
129	8022	53690
130	8086	53643
131	8151	53600
132	8219	53578
133	8277	53494
134	8333	53395
135	8390	53305
136	8466	53332
137	8520	53223
138	8590	53211
139	8644	53099
140	8712	53080
141	8766	52969
142	8830	52919
143	8891	52856
144	8953	52794
145	8996	52626
146	9062	52585
147	9123	52523
148	9192	52502
149	9260	52476
150	9318	52392
151	9373	52293
152	9437	52247
153	9493	52153
154	9543	52029
155	9585	51859
156	9646	51796
157	9706	51726
158	9774	51698
159	9833	51625
160	9896	51573
161	9955	51499
162	10027	51489
163	10098	51476
164	10156	51399
165	10213	51315
166	10272	51241
167	10335	51183
168	10400	51138
169	10455	51047
170	10524	51023
171	10593	50994
172	10650	50913
173	10706	50823
174	10768	50767
175	10837	50741
176	10900	50683
177	10958	50607
178	11023	50559
179	11083	50493
180	11139	50404
181	11175	50229
182	11226	50121
183	11276	50009
184	11337	49946
185	11391	49852
186	11441	49744
187	11511	49721
188	11567	49636
189	11627	49568
190	11673	49444
191	11718	49314
192	11772	49225
193	11835	49173
194	11898	49119
195	11973	49116
196	12029	49033
197	12089	48967
198	12141	48869
199	12204	48818
200	12268	48769
201	12328	48703
202	12384	48621
203	12444	48557
204	12510	48516
205	12581	48491
206	12639	48421
207	12709	48395
208	12770	48330
209	12835	48284
210	12891	48207
211	12958	48167
212	13015	48091
213	13080	48043
214	13126	47927
215	13199	47907
216	13252	47819
217	13295	47694
218	13356	47632
219	13420	47581
220	13479	47515
221	13531	47421
222	13595	47369
223	13642	47260
224	13694	47171
225	13755	47108
226	13810	47029
227	13880	46997
228	13935	46916
229	13986	46825
230	14037	46732
231	14101	46681
232	14160	46613
233	14217	46539
234	14273	46464
235	14341	46426
236	14394	46341
237	14448	46260
238	14514	46215
239	14574	46153
240	14618	46038
241	14666	45939
242	14719	45855
243	14778	45788
244	14841	45735
245	14903	45680
246	14966	45626
247	15022	45551
248	15085	45499
249	15147	45441
250	15193	45338
251	15251	45271
252	15316	45222
253	15375	45157
254	15426	45070
255	15473	44969
256	15537	44918
257	15584	44819
258	15648	44769
259	15704	44698
260	15771	44654
261	15834	44602
262	15872	44478
263	15925	44399
264	15981	44326
265	16032	44240
266	16072	44125
267	16135	44071
268	16185	43984
269	16250	43936
270	16307	43866
271	16365	43801
272	16436	43771
273	16498	43714
274	16559	43656
275	16620	43597
276	16692	43568
277	16738	43471
278	16796	43405
279	16850	43329
280	16915	43283
281	16974	43217
282	17026	43138
283	17078	43057
284	17152	43031
285	17211	42967
286	17266	42894
287	17322	42825
288	17391	42786
